Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Sales Agent ID,Country/Region,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Cost%
1,CA-152156-1,11/8/2019,11/11/2019,Second Class,CG-12520,Claire Gute,16,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.1
2,CA-152156-2,11/8/2019,11/11/2019,Second Class,CG-12520,Claire Gute,16,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.1
3,CA-138688-3,6/12/2019,6/16/2019,Second Class,DV-13045,Darrin Van Huff,4,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.1
4,US-108966-4,10/11/2018,10/18/2018,Standard Class,SO-20335,Sean O'Donnell,9,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45
5,US-108966-5,10/11/2018,10/18/2018,Standard Class,SO-20335,Sean O'Donnell,9,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2
6,CA-115812-6,6/9/2017,6/14/2017,Standard Class,BH-11710,Brosina Hoffman,4,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.1
7,CA-115812-7,6/9/2017,6/14/2017,Standard Class,BH-11710,Brosina Hoffman,4,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0.1
8,CA-115812-8,6/9/2017,6/14/2017,Standard Class,BH-11710,Brosina Hoffman,4,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2
9,CA-115812-9,6/9/2017,6/14/2017,Standard Class,BH-11710,Brosina Hoffman,4,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2
10,CA-115812-10,6/9/2017,6/14/2017,Standard Class,BH-11710,Brosina Hoffman,4,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.1
